iter	F1	Logloss
0	0.5957808429	0.6923138496
1	0.6055193348	0.6914976076
2	0.6230071462	0.6907245542
3	0.6236064578	0.6899251038
4	0.6177670817	0.6891578136
5	0.6228364638	0.6884457364
6	0.6270673111	0.6877426242
7	0.6267468834	0.6870427138
8	0.6289258804	0.6863757462
9	0.6285979204	0.685701379
10	0.6287201463	0.6850536932
11	0.6280839725	0.684433614
12	0.6278165104	0.6838125387
13	0.6270396516	0.6832202795
14	0.6311314119	0.6823682486
15	0.6317807507	0.6815952664
16	0.6325384751	0.6808067021
17	0.6344992604	0.6800603302
18	0.6348078217	0.679321358
19	0.636186038	0.6785852318
20	0.6375260023	0.6778944287
21	0.6385469535	0.6772328686
22	0.6388017356	0.6765673952
23	0.6381644411	0.6761052707
24	0.6377554329	0.675672745
25	0.6381417223	0.6750491794
26	0.6392515158	0.6744424766
27	0.6391428924	0.6740046146
28	0.6395379277	0.6734493537
29	0.639958091	0.6728873336
30	0.6395656563	0.6724664766
31	0.6398123474	0.6719604521
32	0.6396693867	0.6714735672
33	0.6400020191	0.6710633828
34	0.6398221209	0.6706977389
35	0.6394388482	0.6702038812
36	0.6395006428	0.6697316533
37	0.6395793963	0.669375757
38	0.6396488457	0.6690201454
39	0.6397700003	0.6685702589
40	0.6397619128	0.6681193762
41	0.6397120205	0.6676831507
42	0.6398115011	0.6673516591
43	0.6395773869	0.6670560987
44	0.6396927853	0.6666579388
45	0.6397023575	0.6663596747
46	0.6396036324	0.6659737528
47	0.6398156016	0.6656071127
48	0.639743339	0.6652189139
49	0.63952028	0.6648423839
50	0.639980593	0.6644926777
51	0.6398812629	0.6641330816
52	0.6402523708	0.6637798179
53	0.6401161266	0.6634600662
54	0.6406082846	0.6631422356
55	0.6406723721	0.662813092
56	0.6404379836	0.6625169624
57	0.6405461257	0.6622196943
58	0.6405568687	0.6619131767
59	0.640598359	0.66160239
60	0.6408564894	0.6612988607
61	0.6412566196	0.6610234359
62	0.6414630503	0.6607350617
63	0.6415414854	0.6604735826
64	0.6414997673	0.6602050594
65	0.6414081337	0.65994913
66	0.6415398939	0.659696687
67	0.6416571961	0.6594214757
68	0.6417139267	0.6591952162
69	0.6418607633	0.6589510978
70	0.6418057799	0.6587102523
71	0.6419659687	0.6584745297
72	0.6417519048	0.6582422935
73	0.6418642052	0.6580257816
74	0.641708073	0.6578003048
75	0.6418540558	0.657572551
76	0.6419971724	0.6573569641
77	0.6419830199	0.657146002
78	0.6419666434	0.6569246519
79	0.6419507393	0.656717603
80	0.6420052687	0.6565177405
81	0.6420404799	0.6563126127
82	0.64214001	0.6561148846
83	0.642130284	0.6559234178
84	0.6421798664	0.6557386392
85	0.642164538	0.6555552836
86	0.6421924006	0.6553718568
87	0.6422192511	0.6551987469
88	0.6422863851	0.6550214392
89	0.6424729974	0.6548516022
90	0.6422556578	0.6546838286
91	0.6425041892	0.6545135648
92	0.6424502218	0.6543486372
93	0.6424475499	0.6541816463
94	0.6423597414	0.6540277471
95	0.6425163964	0.6538669463
